wordid,lemma,N
45011,express,13
80959,major,13
81403,man,13
82634,mate,13
83085,measure,13
83322,medium,13
83358,meet,13
85177,mind,13
51408,fresh,13
51651,front,13
51908,full,13
52345,gain,13
49457,flick,12
49465,flight,12
49581,floor,12
49948,focus,12
50001,fold,12
50666,forward,12
74362,know,12
78963,long,12
57964,"give up",12
58063,glass,12
58308,glow,12
73058,just,12
85329,minor,12
85602,miss,12
63131,help,12
64409,hitch,12
65241,horn,12
45075,extension,12
47615,feed,12
49131,flag,12
13128,bend,12
14407,bitter,12
15577,bob,12
15646,body,12
16421,bottom,12
16598,bowl,12
17303,bridge,12
18160,build,12
18586,burst,12
31737,crop,12
32022,crush,12
32046,cry,12
33692,dash,12
33754,date,12
34615,defense,12
34898,deliver,12
35418,deposit,12
18772,butt,12
19828,camp,12
22946,chain,12
1628,action,12
37699,dissolve,12
37943,division,12
38065,dock,12
10189,average,12
11276,bang,12
27155,collar,12
27585,"come up",12
27646,command,12
27748,commission,12
29433,contract,12
29613,convert,12
29709,cool,12
30245,correct,12
30674,count,12
135611,trip,12
136011,trust,12
136464,"turn out",12
113406,ruffle,12
113436,ruin,12
115322,save,12
115424,say,12
118504,shadow,12
120045,silver,12
120926,skin,12
121533,smack,12
121722,smooth,12
100205,picture,12
100553,pinch,12
104552,prime,12
105231,proof,12
106249,puddle,12
107349,queen,12
108789,read,12
109004,recall,12
109178,record,12
129754,tack,12
130887,tease,12
132336,thing,12
133526,title,12
134310,tough,12
134545,trade,12
134976,trap,12
142979,warm,12
143510,weak,12
143552,wear,12
145302,wing,12
145534,withdraw,12
89276,negative,12
89636,net,12
97248,passing,12
97610,pay,12
125285,star,12
127147,style,12
124270,spoil,11
124535,spring,11
125187,standard,11
125401,state,11
126004,stiff,11
126126,stir,11
127828,suffer,11
128815,swallow,11
129075,swell,11
129858,tail,11
130090,talk,11
134926,transport,11
116985,secure,11
118638,shape,11
118987,shine,11
119448,shower,11
121282,slick,11
121463,slow,11
122083,so,11
122090,soak,11
123058,sour,11
123077,source,11
135749,troll,11
135835,trouble,11
139726,upgrade,11
140449,value,11
140622,variation,11
110729,reserve,11
110791,resistance,11
110809,resolution,11
111056,retire,11
111089,retreat,11
111762,ridge,11
111817,rig,11
113562,running,11
104670,print,11
106438,pump,11
107467,question,11
107841,radical,11
107992,rag,11
108489,rat,11
108909,rear,11
109689,reference,11
110124,relief,11
110129,relieve,11
100411,pile,11
101179,plain,11
101366,plaster,11
102006,pocket,11
102824,pool,11
103583,power,11
104452,prick,11
92595,offset,11
93495,operation,11
93600,opposite,11
95775,pad,11
96085,pall,11
144163,wheel,11
144233,whip,11
144314,whistle,11
144710,wide,11
145127,wilson,11
145898,word,11
87029,mould,11
87214,mouth,11
87252,movement,11
89831,new,11
91444,notice,11
92103,obscure,11
44707,exercise,11
45553,fail,11
45728,false,11
48411,fill,11
57517,"get off",11
59506,grass,11
60164,grind,11
60606,guide,11
49234,flap,11
49830,flux,11
53018,gather,11
53045,gauge,11
74322,knock,11
75485,lap,11
75556,large,11
75753,late,11
77666,like,11
78190,liquid,11
62731,heat,11
62933,heel,11
65088,hood,11
65455,host,11
66930,ice,11
67461,image,11
70298,intimate,11
70896,irregular,11
71430,jackson,11
71563,jam,11
72021,jerk,11
82455,mass,11
82602,mat,11
82642,material,11
82779,mature,11
25143,circle,11
25459,claim,11
25955,click,11
26020,clinch,11
26071,clip,11
26355,club,11
27152,collapse,11
27571,"come out",11
28293,compound,11
28480,concentrate,11
28986,connect,11
29274,contact,11
29985,core,11
20287,cap,11
20385,capital,11
20722,capture,11
21032,care,11
21334,carrier,11
22539,centre,11
23168,channel,11
24535,chop,11
12819,begin,11
12955,bell,11
14026,bind,11
14374,bit,11
17351,bright,11
17391,bring,11
31065,crab,11
32427,cup,11
32882,cycle,11
34372,decline,11
34596,defence,11
34961,demand,11
994,accept,11
1169,ace,11
2987,aim,11
4045,allow,10
4311,alternate,10
13076,belt,10
13727,bid,10
14908,blaze,10
15006,blind,10
16137,boom,10
16215,border,10
16482,bounce,10
16914,brand,10
25515,clap,10
26423,clutch,10
27519,combine,10
27790,common,10
28099,compact,10
28117,company,10
28225,complete,10
28560,concord,10
29332,content,10
29389,continue,10
18716,bust,10
20276,canvass,10
21736,cat,10
23242,character,10
31125,cradle,10
31188,crank,10
32628,curve,10
33871,day,10
35454,depression,10
36546,digest,10
36675,dim,10
7063,apply,10
7999,around,10
10815,badly,10
12014,bat,10
12275,bay,10
37782,distribute,10
37916,divine,10
39220,drink,10
39743,dump,10
40706,edge,10
40824,edward,10
42111,empty,10
42459,engage,10
88488,nail,10
88702,narrow,10
105069,program,10
105115,projection,10
106594,purge,10
106801,put,10
106812,"put on",10
106818,"put out",10
107711,race,10
107825,radiate,10
108177,rally,10
108372,rap,10
108681,ray,10
109842,regard,10
109849,regenerate,10
110485,representation,10
118654,share,10
118805,sheet,10
120312,single,10
120677,sit,10
120913,skim,10
121274,slice,10
121291,slide,10
121490,slug,10
121636,smell,10
121670,smith,10
121680,smoke,10
122409,softness,10
123278,space,10
123490,spat,10
123551,special,10
123692,speed,10
